wl,n
0.2100,1.831
0.2200,1.817
0.2300,1.805
0.2400,1.793
0.2500,1.789
0.2600,1.779
0.2700,1.776
0.2800,1.772
0.2900,1.767
0.3000,1.762
0.3100,1.762
0.3200,1.762
0.3300,1.761
0.3400,1.760
0.3500,1.758
0.3600,1.757
0.3700,1.757
0.3800,1.757
0.3900,1.757
0.4000,1.756
0.4100,1.755
0.4200,1.754
0.4300,1.754
0.4400,1.754
0.4500,1.754
0.4600,1.754
0.4700,1.754
0.4800,1.754
0.4900,1.754
0.5000,1.754
0.5100,1.753
0.5200,1.753
0.5300,1.753
0.5400,1.753
0.5500,1.753
0.5600,1.752
0.5700,1.752
0.5800,1.752
0.5900,1.752
0.6000,1.752
0.6100,1.751
0.6200,1.751
0.6300,1.751
0.6400,1.751
0.6500,1.751
0.6600,1.751
0.6700,1.751
0.6800,1.751
0.6900,1.751
0.7000,1.751
0.7100,1.751
0.7200,1.751
0.7300,1.750
0.7400,1.750
0.7500,1.750
0.7600,1.750
0.7700,1.750
0.7800,1.750
0.7900,1.750
0.8000,1.750
0.8100,1.750
0.8200,1.750
0.8300,1.750
0.8400,1.750
0.8500,1.750
0.8600,1.750
0.8700,1.750
0.8800,1.750
0.8900,1.750
0.9000,1.750
0.9100,1.750
0.9200,1.750
0.9300,1.750
0.9400,1.750
0.9500,1.750
0.9600,1.750
0.9700,1.750
0.9800,1.750
0.9900,1.749
1.0000,1.749
1.0100,1.749
1.0200,1.749
1.0300,1.749
1.0400,1.749
1.0500,1.749
1.0600,1.749
1.0700,1.749
1.0800,1.749
1.0900,1.749
1.1000,1.749
1.1100,1.749
1.1200,1.749
1.1300,1.749
1.1400,1.749
1.1500,1.749
1.1600,1.749
1.1700,1.749
1.1800,1.749
1.1900,1.749
1.2000,1.749
1.2100,1.749
1.2200,1.749
1.2300,1.749
1.2400,1.749
1.2500,1.749
1.2600,1.749
1.2700,1.749
1.2800,1.749
1.2900,1.749
1.3000,1.749
1.3100,1.748
1.3200,1.748
1.3300,1.748
1.3400,1.748
1.3500,1.748
1.3600,1.748
1.3700,1.748
1.3800,1.748
1.3900,1.749
1.4000,1.748
1.4100,1.748
1.4200,1.748
1.4300,1.748
1.4400,1.748
1.4500,1.748
1.4600,1.748
1.4700,1.748
1.4800,1.748
1.4900,1.747
1.5000,1.747
1.5100,1.747
1.5200,1.747
1.5300,1.746
1.5400,1.746
1.5500,1.747
1.5600,1.746
1.5700,1.746
1.5800,1.745
1.5900,1.745
1.6000,1.745
1.6100,1.745
1.6200,1.745
1.6300,1.744
1.6400,1.744
1.6500,1.744
1.6600,1.744
1.6700,1.744
1.6800,1.744
1.6900,1.744
1.7000,1.744
1.7100,1.744
1.7200,1.744
1.7300,1.744
1.7400,1.743
1.7500,1.743
1.7600,1.743
1.7700,1.744
1.7800,1.744
1.7900,1.743
1.8000,1.743
1.8100,1.742
1.8200,1.742
1.8300,1.742
1.8400,1.741
1.8500,1.740
1.8600,1.739
1.8700,1.739
1.8800,1.740
1.8900,1.741
1.9000,1.741
1.9100,1.741
1.9200,1.741
1.9300,1.741
1.9400,1.741
1.9500,1.741
1.9600,1.741
1.9700,1.740
1.9800,1.740
1.9900,1.739
2.0000,1.739
2.0100,1.739
2.0200,1.738
2.0300,1.738
2.0400,1.737
2.0500,1.737
2.0600,1.737
2.0700,1.737
2.0800,1.737
2.0900,1.737
2.1000,1.737
2.1100,1.736
2.1200,1.736
2.1300,1.736
2.1400,1.735
2.1500,1.735
2.1600,1.735
2.1700,1.735
2.1800,1.735
2.1900,1.735
2.2000,1.734
2.2100,1.734
2.2200,1.734
2.2300,1.734
2.2400,1.734
2.2500,1.734
2.2600,1.734
2.2700,1.734
2.2800,1.734
2.2900,1.734
2.3000,1.734
2.3100,1.733
2.3200,1.733
2.3300,1.733
2.3400,1.733
2.3500,1.733
2.3600,1.733
2.3700,1.732
2.3800,1.732
2.3900,1.732
2.4000,1.732
2.4100,1.732
2.4200,1.732
2.4300,1.732
2.4400,1.732
2.4500,1.732
2.4600,1.732
2.4700,1.731
2.4800,1.731
2.4900,1.730
2.5000,1.729
2.5063,1.729
2.5126,1.729
2.5189,1.729
2.5253,1.728
2.5316,1.728
2.5381,1.728
2.5445,1.728
2.5510,1.728
2.5575,1.727
2.5641,1.727
2.5707,1.727
2.5773,1.727
2.5840,1.727
2.5907,1.726
2.5974,1.726
2.6042,1.726
2.6110,1.726
2.6178,1.726
2.6247,1.726
2.6316,1.725
2.6385,1.725
2.6455,1.725
2.6525,1.725
2.6596,1.725
2.6667,1.724
2.6738,1.724
2.6810,1.725
2.6882,1.725
2.6954,1.724
2.7027,1.724
2.7100,1.723
2.7174,1.723
2.7248,1.722
2.7322,1.722
2.7397,1.722
2.7473,1.723
2.7548,1.723
2.7624,1.723
2.7701,1.723
2.7778,1.722
2.7855,1.722
2.7933,1.722
2.8011,1.722
2.8090,1.722
2.8169,1.722
2.8249,1.721
2.8329,1.721
2.8409,1.721
2.8490,1.721
2.8571,1.720
2.8653,1.720
2.8736,1.720
2.8818,1.720
2.8902,1.720
2.8986,1.720
2.9070,1.719
2.9155,1.719
2.9240,1.719
2.9326,1.718
2.9412,1.718
2.9499,1.718
2.9586,1.718
2.9674,1.717
2.9762,1.718
2.9851,1.718
2.9940,1.717
3.0030,1.717
3.0120,1.717
3.0211,1.717
3.0303,1.716
3.0395,1.716
3.0488,1.715
3.0581,1.715
3.0675,1.715
3.0769,1.714
3.0864,1.714
3.0960,1.713
3.1056,1.713
3.1153,1.712
3.1250,1.712
3.1348,1.712
3.1447,1.712
3.1546,1.712
3.1646,1.711
3.1746,1.711
3.1847,1.710
3.1949,1.709
3.2051,1.709
3.2154,1.709
3.2258,1.709
3.2362,1.708
3.2468,1.708
3.2573,1.707
3.2680,1.707
3.2787,1.707
3.2895,1.706
3.3003,1.706
3.3113,1.706
3.3223,1.705
3.3333,1.705
3.3445,1.705
3.3557,1.704
3.3670,1.704
3.3784,1.703
3.3898,1.702
3.4014,1.702
3.4130,1.702
3.4247,1.701
3.4364,1.701
3.4483,1.701
3.4602,1.701
3.4722,1.701
3.4843,1.701
3.4965,1.700
3.5088,1.700
3.5211,1.700
3.5336,1.699
3.5461,1.699
3.5587,1.699
3.5714,1.698
3.5842,1.698
3.5971,1.697
3.6101,1.697
3.6232,1.696
3.6364,1.695
3.6496,1.694
3.6630,1.694
3.6765,1.693
3.6900,1.692
3.7037,1.692
3.7175,1.691
3.7313,1.690
3.7453,1.690
3.7594,1.689
3.7736,1.688
3.7879,1.687
3.8023,1.687
3.8168,1.686
3.8314,1.685
3.8462,1.684
3.8610,1.684
3.8976,1.683
3.8911,1.683
3.9063,1.682
3.9216,1.681
3.9370,1.680
3.9526,1.679
3.9683,1.678
3.9841,1.677
4.0000,1.676
4.0161,1.676
4.0323,1.675
4.0486,1.674
4.0650,1.674
4.0816,1.673
4.0984,1.672
4.1152,1.672
4.1322,1.671
4.1494,1.670
4.1667,1.670
4.1841,1.669
4.2017,1.668
4.2194,1.667
4.2373,1.667
4.2553,1.666
4.2735,1.665
4.2918,1.664
4.3103,1.663
4.3290,1.662
4.3478,1.660
4.3668,1.659
4.3860,1.658
4.4053,1.657
4.4248,1.656
4.4444,1.655
4.4643,1.654
4.4843,1.653
4.5045,1.652
4.5249,1.651
4.5455,1.650
4.5662,1.649
4.5872,1.647
4.6083,1.646
4.6296,1.645
4.6512,1.644
4.6729,1.643
4.6948,1.642
4.7170,1.642
4.7393,1.641
4.7619,1.639
4.7847,1.638
4.8077,1.637
4.8309,1.636
4.8544,1.634
4.8780,1.633
4.9020,1.633
4.9261,1.632
4.9505,1.631
4.9751,1.629
5.0000,1.628
5.0251,1.627
5.0505,1.626
5.0761,1.624
5.1020,1.623
5.1282,1.621
5.1546,1.620
5.1813,1.619
5.2083,1.617
5.2356,1.616
5.2632,1.614
5.2910,1.612
5.3191,1.610
5.3476,1.608
5.3763,1.606
5.4054,1.604
5.4348,1.602
5.4645,1.600
5.4945,1.598
5.5249,1.596
5.5556,1.593
5.5866,1.591
5.6180,1.589
5.6497,1.587
5.6818,1.584
5.7143,1.582
5.7471,1.579
5.7803,1.576
5.8140,1.573
5.8480,1.571
5.8824,1.568
5.9172,1.565
5.9524,1.562
5.9880,1.560
6.0241,1.557
6.0606,1.554
6.0976,1.551
6.1350,1.548
6.1728,1.544
6.2112,1.542
6.2500,1.538
6.2893,1.535
6.3291,1.532
6.3694,1.528
6.4103,1.524
6.4516,1.521
6.4935,1.517
6.5359,1.513
6.5789,1.509
6.6225,1.505
6.6667,1.501
6.7114,1.497
6.7568,1.492
6.8027,1.487
6.8493,1.482
6.8966,1.478
6.9444,1.473
6.9930,1.467
7.0423,1.462
7.0922,1.457
7.1429,1.452
7.1942,1.447
7.2464,1.441
7.2993,1.435
7.3529,1.428
7.4074,1.422
7.4627,1.416
7.5188,1.409
7.5758,1.402
7.6336,1.395
7.6923,1.388
7.7519,1.380
7.8125,1.371
7.8740,1.359
7.9365,1.345
8.0000,1.345
8.0645,1.336
8.1301,1.321
8.1967,1.311
8.2645,1.301
8.3333,1.294
8.4034,1.276
8.4746,1.265
8.5470,1.243
8.6207,1.236
8.6957,1.228
8.7719,1.218
8.8496,1.197
8.9286,1.173
9.0090,1.160
9.0909,1.149
9.1743,1.136
9.2593,1.113
9.3458,1.079
9.4340,1.050
9.5238,1.032
9.6154,1.014
9.7087,0.990
9.8039,0.961
9.9010,0.927
10.0000,0.890
10.1010,0.854
10.2041,0.813
10.3093,0.768
10.4167,0.717
10.5263,0.658
10.6383,0.592
10.7527,0.514
10.8696,0.401
10.9890,0.279
11.1111,0.182
11.2360,0.124
11.3636,0.098
11.4943,0.087
11.6279,0.083
11.7647,0.081
11.9048,0.079
12.0482,0.078
12.1951,0.078
12.3457,0.079
12.5000,0.082
12.6582,0.083
12.8205,0.081
12.9870,0.080
13.1579,0.079
13.3333,0.079
13.5135,0.080
13.6986,0.091
13.8889,0.105
14.0845,0.114
14.2857,0.114
14.4928,0.117
14.7059,0.135
14.9254,0.172
15.1515,0.243
15.3846,0.369
15.6250,0.664
15.8730,1.672
16.1290,0.735
16.3934,0.774
16.6667,1.062
16.9492,1.523
17.2414,2.382
17.5439,5.146
17.8571,8.559
18.1818,6.585
18.5185,5.308
18.8679,4.497
19.2308,3.797
19.6078,3.232
20.0000,2.725
20.4082,1.951
20.8333,0.629
21.2766,0.283
21.7391,0.512
22.2222,1.472
22.7273,7.250
23.2558,9.484
23.8095,6.881
24.3902,5.718
25.0000,5.020
25.6410,3.879
26.3158,5.677
27.0270,4.903
27.7778,4.560
28.5714,4.279
29.4118,4.122
30.3030,4.000
31.2500,3.893
32.2581,3.803
33.3333,3.723
34.4828,3.667
35.7143,3.646
37.0370,3.617
38.4615,3.571
40.0000,3.530
41.6667,3.492
43.4783,3.458
45.4545,3.426
47.6190,3.398
50.0000,3.372
52.6316,3.348
55.5556,3.326